Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_40p_05c_iter01.dat;600;50;Limite_300s;ok/optimal;1950,5;0,0;0,26
bateria_pruebas\run_40p_05c_iter02.dat;600;50;Limite_20s;ok/optimal;1813,0;0,0;0,13
bateria_pruebas\run_40p_05c_iter02.dat;600;50;Limite_60s;ok/optimal;1813,0;0,0;0,14
bateria_pruebas\run_40p_05c_iter02.dat;600;50;Limite_300s;ok/optimal;1813,0;0,0;0,13
bateria_pruebas\run_40p_05c_iter03.dat;600;50;Limite_20s;ok/optimal;1780,5;0,0;0,24
bateria_pruebas\run_40p_05c_iter03.dat;600;50;Limite_60s;ok/optimal;1780,5;0,0;0,24
bateria_pruebas\run_40p_05c_iter03.dat;600;50;Limite_300s;ok/optimal;1780,5;0,0;0,24
bateria_pruebas\run_40p_05c_iter04.dat;600;50;Limite_20s;ok/optimal;1838,0021746221591;0,0;0,4
bateria_pruebas\run_40p_05c_iter04.dat;600;50;Limite_60s;ok/optimal;1838,0021746221591;0,0;0,4
bateria_pruebas\run_40p_05c_iter04.dat;600;50;Limite_300s;ok/optimal;1838,0021746221591;0,0;0,4
bateria_pruebas\run_40p_05c_iter05.dat;600;50;Limite_20s;ok/optimal;6894,0;0,0;0,18
bateria_pruebas\run_40p_05c_iter05.dat;600;50;Limite_60s;ok/optimal;6894,0;0,0;0,16
bateria_pruebas\run_40p_05c_iter05.dat;600;50;Limite_300s;ok/optimal;6894,0;0,0;0,16
bateria_pruebas\run_40p_05c_iter06.dat;600;50;Limite_20s;ok/optimal;-790,9978253778409;0,0;0,36
bateria_pruebas\run_40p_05c_iter06.dat;600;50;Limite_60s;ok/optimal;-790,9978253778409;0,0;0,36
bateria_pruebas\run_40p_05c_iter06.dat;600;50;Limite_300s;ok/optimal;-790,9978253778409;0,0;0,37
bateria_pruebas\run_40p_05c_iter07.dat;600;50;Limite_20s;ok/optimal;-53,497825377840854;0,0;0,86
bateria_pruebas\run_40p_05c_iter07.dat;600;50;Limite_60s;ok/optimal;-53,497825377840854;0,0;0,86
bateria_pruebas\run_40p_05c_iter07.dat;600;50;Limite_300s;ok/optimal;-53,497825377840854;0,0;0,86
bateria_pruebas\run_40p_05c_iter08.dat;600;50;Limite_20s;ok/optimal;3063,0;0,0;0,14
bateria_pruebas\run_40p_05c_iter08.dat;600;50;Limite_60s;ok/optimal;3063,0;0,0;0,14
bateria_pruebas\run_40p_05c_iter08.dat;600;50;Limite_300s;ok/optimal;3063,0;0,0;0,14
bateria_pruebas\run_40p_05c_iter09.dat;600;50;Limite_20s;ok/optimal;2316,5;0,0;0,31
bateria_pruebas\run_40p_05c_iter09.dat;600;50;Limite_60s;ok/optimal;2316,5;0,0;0,31
bateria_pruebas\run_40p_05c_iter09.dat;600;50;Limite_300s;ok/optimal;2316,5;0,0;0,32
bateria_pruebas\run_40p_05c_iter10.dat;600;50;Limite_20s;ok/optimal;-63,48912688920336;0,0;1,21
bateria_pruebas\run_40p_05c_iter10.dat;600;50;Limite_60s;ok/optimal;-63,48912688920336;0,0;1,2
bateria_pruebas\run_40p_05c_iter10.dat;600;50;Limite_300s;ok/optimal;-63,48912688920336;0,0;1,2
bateria_pruebas\run_40p_05c_iter11.dat;600;50;Limite_20s;ok/optimal;529,0043492443192;0,0;0,4
bateria_pruebas\run_40p_05c_iter11.dat;600;50;Limite_60s;ok/optimal;529,0043492443192;0,0;0,39
bateria_pruebas\run_40p_05c_iter11.dat;600;50;Limite_300s;ok/optimal;529,0043492443192;0,0;0,4
bateria_pruebas\run_40p_05c_iter12.dat;600;50;Limite_20s;ok/optimal;754,5021746221591;0,0;0,46
bateria_pruebas\run_40p_05c_iter12.dat;600;50;Limite_60s;ok/optimal;754,5021746221591;0,0;0,46
bateria_pruebas\run_40p_05c_iter12.dat;600;50;Limite_300s;ok/optimal;754,5021746221591;0,0;0,47
bateria_pruebas\run_40p_05c_iter13.dat;600;50;Limite_20s;ok/optimal;289,5043492443192;0,0;0,88
bateria_pruebas\run_40p_05c_iter13.dat;600;50;Limite_60s;ok/optimal;289,5043492443192;0,0;0,88
bateria_pruebas\run_40p_05c_iter13.dat;600;50;Limite_300s;ok/optimal;289,5043492443192;0,0;0,87
