Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_200p_normal_iter09.dat;1200;75;Limite_20s;aborted/maxTimeLimit;9715,5;0,229675;19,96
bateria_pruebas\run_200p_normal_iter09.dat;1200;75;Limite_60s;aborted/maxTimeLimit;9699,5;0,228405;59,95
bateria_pruebas\run_200p_normal_iter09.dat;1200;75;Limite_300s;aborted/maxTimeLimit;9688,5;0,011707;300,06
bateria_pruebas\run_200p_normal_iter10.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10909,0;0,200547;20,08
bateria_pruebas\run_200p_normal_iter10.dat;1200;75;Limite_60s;aborted/maxTimeLimit;10909,0;0,160084;60,1
bateria_pruebas\run_200p_normal_iter10.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10909,0;0,133885;300,17
bateria_pruebas\run_200p_normal_iter11.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10662,0;0,027951;20,13
bateria_pruebas\run_200p_normal_iter11.dat;1200;75;Limite_60s;ok/optimal;10635,5;0,0;48,66
bateria_pruebas\run_200p_normal_iter11.dat;1200;75;Limite_300s;ok/optimal;10635,5;0,0;48,72
bateria_pruebas\run_200p_normal_iter12.dat;1200;75;Limite_20s;ok/optimal;10785,5;0,0;9,51
bateria_pruebas\run_200p_normal_iter12.dat;1200;75;Limite_60s;ok/optimal;10785,5;0,0;9,49
bateria_pruebas\run_200p_normal_iter12.dat;1200;75;Limite_300s;ok/optimal;10785,5;0,0;9,49
bateria_pruebas\run_200p_normal_iter13.dat;1200;75;Limite_20s;aborted/maxTimeLimit;11882,0;0,133002;20,02
bateria_pruebas\run_200p_normal_iter13.dat;1200;75;Limite_60s;aborted/maxTimeLimit;11882,0;0,042718;60,01
bateria_pruebas\run_200p_normal_iter13.dat;1200;75;Limite_300s;ok/optimal;11882,0;0,0;101,7
bateria_pruebas\run_200p_normal_iter14.dat;1200;75;Limite_20s;aborted/maxTimeLimit;7500,5;0,139508;19,92
bateria_pruebas\run_200p_normal_iter14.dat;1200;75;Limite_60s;aborted/maxTimeLimit;7500,5;0,111839;59,91
bateria_pruebas\run_200p_normal_iter14.dat;1200;75;Limite_300s;aborted/maxTimeLimit;7500,5;0,079725;299,94
bateria_pruebas\run_200p_normal_iter15.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10998,5;0,260393;20,01
bateria_pruebas\run_200p_normal_iter15.dat;1200;75;Limite_60s;aborted/maxTimeLimit;10983,5;0,135241;60,04
bateria_pruebas\run_200p_normal_iter15.dat;1200;75;Limite_300s;aborted/maxTimeLimit;10898,00217462216;0,013809;300,08
bateria_pruebas\run_200p_normal_iter16.dat;1200;75;Limite_20s;aborted/maxTimeLimit;5785,5;0,649497;19,96
bateria_pruebas\run_200p_normal_iter16.dat;1200;75;Limite_60s;aborted/maxTimeLimit;5785,5;0,030603;59,98
bateria_pruebas\run_200p_normal_iter16.dat;1200;75;Limite_300s;aborted/maxTimeLimit;5783,0;0,030183;300,06
bateria_pruebas\run_200p_normal_iter17.dat;1200;75;Limite_20s;ok/optimal;8945,0;0,0;6,96
bateria_pruebas\run_200p_normal_iter17.dat;1200;75;Limite_60s;ok/optimal;8945,0;0,0;6,98
bateria_pruebas\run_200p_normal_iter17.dat;1200;75;Limite_300s;ok/optimal;8945,0;0,0;6,93
bateria_pruebas\run_200p_normal_iter18.dat;1200;75;Limite_20s;ok/optimal;6463,5;0,0;7,13
bateria_pruebas\run_200p_normal_iter18.dat;1200;75;Limite_60s;ok/optimal;6463,5;0,0;7,12
bateria_pruebas\run_200p_normal_iter18.dat;1200;75;Limite_300s;ok/optimal;6463,5;0,0;7,15
bateria_pruebas\run_200p_normal_iter19.dat;1200;75;Limite_20s;aborted/maxTimeLimit;9239,5;0,569803;20,05
bateria_pruebas\run_200p_normal_iter19.dat;1200;75;Limite_60s;aborted/maxTimeLimit;9239,5;0,46329;60,1
bateria_pruebas\run_200p_normal_iter19.dat;1200;75;Limite_300s;aborted/maxTimeLimit;7332,002174622159;0,28;300,27
bateria_pruebas\run_200p_normal_iter20.dat;1200;75;Limite_20s;aborted/maxTimeLimit;5757,5;0,031843;20,19
bateria_pruebas\run_200p_normal_iter20.dat;1200;75;Limite_60s;aborted/maxTimeLimit;5757,5;0,031843;60,18
bateria_pruebas\run_200p_normal_iter20.dat;1200;75;Limite_300s;ok/optimal;5757,5;0,0;89,27
bateria_pruebas\run_200p_normal_iter21.dat;1200;75;Limite_20s;aborted/maxTimeLimit;5788,0;0,41666;20,08
bateria_pruebas\run_200p_normal_iter21.dat;1200;75;Limite_60s;aborted/maxTimeLimit;5474,0;0,383199;60,09
bateria_pruebas\run_200p_normal_iter21.dat;1200;75;Limite_300s;aborted/maxTimeLimit;5466,5;0,020014;300,2
bateria_pruebas\run_200p_normal_iter22.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10403,5;0,293276;20,12
bateria_pruebas\run_200p_normal_iter22.dat;1200;75;Limite_60s;aborted/maxTimeLimit;10403,5;0,293276;60,26
bateria_pruebas\run_200p_normal_iter22.dat;1200;75;Limite_300s;aborted/maxTimeLimit;9670,5;0,175404;300,18
bateria_pruebas\run_200p_normal_iter23.dat;1200;75;Limite_20s;ok/optimal;10813,5;0,0;6,17
bateria_pruebas\run_200p_normal_iter23.dat;1200;75;Limite_60s;ok/optimal;10813,5;0,0;6,12
bateria_pruebas\run_200p_normal_iter23.dat;1200;75;Limite_300s;ok/optimal;10813,5;0,0;6,15
bateria_pruebas\run_200p_normal_iter24.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10329,50217462216;0,577378;20,1
bateria_pruebas\run_200p_normal_iter24.dat;1200;75;Limite_60s;aborted/maxTimeLimit;9706,0;0,550229;60,05
bateria_pruebas\run_200p_normal_iter24.dat;1200;75;Limite_300s;aborted/maxTimeLimit;9129,5;0,329033;300,11
bateria_pruebas\run_200p_normal_iter25.dat;1200;75;Limite_20s;aborted/maxTimeLimit;9798,0;0,072506;20,07
bateria_pruebas\run_200p_normal_iter25.dat;1200;75;Limite_60s;aborted/maxTimeLimit;9774,5;0,070276;60,09
bateria_pruebas\run_200p_normal_iter25.dat;1200;75;Limite_300s;aborted/maxTimeLimit;9772,0;0,015241;300,17
bateria_pruebas\run_200p_normal_iter26.dat;1200;75;Limite_20s;aborted/maxTimeLimit;7921,0;0,225161;19,99
bateria_pruebas\run_200p_normal_iter26.dat;1200;75;Limite_60s;aborted/maxTimeLimit;7911,0;0,224181;59,99
bateria_pruebas\run_200p_normal_iter26.dat;1200;75;Limite_300s;aborted/maxTimeLimit;7911,0;0,092507;300,06
bateria_pruebas\run_200p_normal_iter27.dat;1200;75;Limite_20s;aborted/maxTimeLimit;8859,5;0,370479;20,02
bateria_pruebas\run_200p_normal_iter27.dat;1200;75;Limite_60s;aborted/maxTimeLimit;8539,5;0,346889;60,14
